"Submit_ID","Brand_Reg","Model_No","screensize","Screen_Tech","Avg_mode_power","Star","Availability Status","Star2","new column","screensize_inches","Screen_Size_Category"
147705,"Caixun","LE-39V2",97.401,"LCD (LED)",32,"N/A","Available",6,"CAIXUN",38.346850393700784,"Other"
147705,"Caixun","LE-39V3",97.401,"LCD (LED)",32,"N/A","Available",6,"CAIXUN",38.346850393700784,"Other"
147706,"LG","50UR765H0VC",125.727,"LCD (LED)",78,"N/A","Available",4.5,"LG",49.4988188976378,"Other"
147709,"LG","55UR765H0VC",138.783,"LCD (LED)",80,"N/A","Available",5.5,"LG",54.63897637795275,"Other"
147710,"LG","65UR765H0VC",163.897,"LCD (LED)",115,"N/A","Available",5,"LG",64.52637795275591,"65-inch"
147707,"Caixun","LE-40T1",100.305,"LCD (LED)",35.9,"N/A","Available",6,"CAIXUN",39.49015748031496,"Other"
147707,"Caixun","LE-40T2",100.305,"LCD (LED)",35.9,"N/A","Available",6,"CAIXUN",39.49015748031496,"Other"
147707,"Caixun","LE-40T3",100.305,"LCD (LED)",35.9,"N/A","Available",6,"CAIXUN",39.49015748031496,"Other"
147707,"Caixun","LE-40V1",100.305,"LCD (LED)",35.9,"N/A","Available",6,"CAIXUN",39.49015748031496,"Other"
147707,"Caixun","LE-40V2",100.305,"LCD (LED)",35.9,"N/A","Available",6,"CAIXUN",39.49015748031496,"Other"
147707,"Caixun","LE-40V3",100.305,"LCD (LED)",35.9,"N/A","Available",6,"CAIXUN",39.49015748031496,"Other"
147711,"LG","75UR765H0VC",189.275,"LCD (LED)",140,"N/A","Available",5.5,"LG",74.51771653543307,"Other"
147713,"Caixun","LE-42T1",105.348,"LCD (LED)",38.3,"N/A","Available",6,"CAIXUN",41.4755905511811,"Other"
147713,"Caixun","LE-42T2",105.348,"LCD (LED)",38.3,"N/A","Available",6,"CAIXUN",41.4755905511811,"Other"
147713,"Caixun","LE-42T3",105.348,"LCD (LED)",38.3,"N/A","Available",6,"CAIXUN",41.4755905511811,"Other"
147713,"Caixun","LE-42V1",105.348,"LCD (LED)",38.3,"N/A","Available",6,"CAIXUN",41.4755905511811,"Other"
147713,"Caixun","LE-42V2",105.348,"LCD (LED)",38.3,"N/A","Available",6,"CAIXUN",41.4755905511811,"Other"
147713,"Caixun","LE-42V3",105.348,"LCD (LED)",38.3,"N/A","Available",6,"CAIXUN",41.4755905511811,"Other"
147716,"Caixun","LE-43T1",107.95,"LCD (LED)",39.5,"N/A","Available",6,"CAIXUN",42.5,"Other"
147716,"Caixun","LE-43T2",107.95,"LCD (LED)",39.5,"N/A","Available",6,"CAIXUN",42.5,"Other"
147716,"Caixun","LE-43T3",107.95,"LCD (LED)",39.5,"N/A","Available",6,"CAIXUN",42.5,"Other"
147716,"Caixun","LE-43V1",107.95,"LCD (LED)",39.5,"N/A","Available",6,"CAIXUN",42.5,"Other"
147716,"Caixun","LE-43V2",107.95,"LCD (LED)",39.5,"N/A","Available",6,"CAIXUN",42.5,"Other"
147716,"Caixun","LE-43V3",107.95,"LCD (LED)",39.5,"N/A","Available",6,"CAIXUN",42.5,"Other"
147926,"TCL","65C935",163.829,"LCD (LED)",171.2,"7.0","Available",3,"TCL",64.4996062992126,"65-inch"
147927,"TCL","75C935",189.306,"LCD (LED)",201,"7.0","Available",3.5,"TCL",74.52992125984252,"Other"
148038,"BAUHN","ATV75UHDW-0622",189.306,"LCD (LED)",127.7,"N/A","Available",6,"BAUHN",74.52992125984252,"Other"
148071,"BLAUPUNKT","BP650USG9700",163.897,"LCD (LED)",109,"N/A","Available",5.5,"BLAUPUNKT",64.52637795275591,"65-inch"
148077,"BLAUPUNKT","BP860USG9700",217.421,"LCD (LED)",270,"N/A","Available",4,"BLAUPUNKT",85.59881889763778,"Other"
148080,"BLAUPUNKT","BP550USG9700",138.783,"LCD (LED)",91,"N/A","Available",5,"BLAUPUNKT",54.63897637795275,"Other"
148082,"BLAUPUNKT","BP420FSG9700",105.407,"LCD (LED)",43.9,"N/A","Available",6,"BLAUPUNKT",41.49881889763779,"Other"
148083,"HISENSE","55U7HAU",138.783,"LCD (LED)",92.3,"N/A","Available",4.5,"HISENSE",54.63897637795275,"Other"
148083,"HISENSE","55U7HNZ",138.783,"LCD (LED)",92.3,"N/A","Available",4.5,"HISENSE",54.63897637795275,"Other"
148084,"HISENSE","65U7HAU",163.896,"LCD (LED)",115.68,"N/A","Available",5,"HISENSE",64.5259842519685,"65-inch"
148084,"HISENSE","65U7HNZ",163.896,"LCD (LED)",115.68,"N/A","Available",5,"HISENSE",64.5259842519685,"65-inch"
148085,"HISENSE","75U7HAU",189.274,"LCD (LED)",148.69,"N/A","Available",5,"HISENSE",74.51732283464567,"Other"
148085,"HISENSE","75U7HNZ",189.274,"LCD (LED)",148.69,"N/A","Available",5,"HISENSE",74.51732283464567,"Other"
148086,"HISENSE","85U7HAU",214.783,"LCD (LED)",214.94,"N/A","Available",4.5,"HISENSE",84.56023622047243,"Other"
148086,"HISENSE","85U7HNZ",214.783,"LCD (LED)",214.94,"N/A","Available",4.5,"HISENSE",84.56023622047243,"Other"
148089,"HISENSE","32A4HAU",80.04,"LCD (LED)",25.32,"N/A","Available",6,"HISENSE",31.511811023622048,"32-inch"
148090,"HISENSE","40A4HAU",100.332,"LCD (LED)",32.9,"N/A","Available",6,"HISENSE",39.5007874015748,"Other"
148096,"SAMSUNG ELECTRONICS","QA98QN100BW",247.702,"LCD (LED)",438,"N/A","Available",3,"SAMSUNG ELECTRONICS",97.52047244094489,"Other"
148096,"SAMSUNG ELECTRONICS","QA98QN100BS",247.702,"LCD (LED)",438,"N/A","Available",3,"SAMSUNG ELECTRONICS",97.52047244094489,"Other"
148096,"SAMSUNG ELECTRONICS","QA98QN100B*",247.702,"LCD (LED)",438,"N/A","Available",3,"SAMSUNG ELECTRONICS",97.52047244094489,"Other"
148083,"HISENSE","55U7H series",138.783,"LCD (LED)",92.3,"N/A","Available",4.5,"HISENSE",54.63897637795275,"Other"
148084,"HISENSE","65U7H series",163.896,"LCD (LED)",115.68,"N/A","Available",5,"HISENSE",64.5259842519685,"65-inch"
148085,"HISENSE","75U7H series",189.274,"LCD (LED)",148.69,"N/A","Available",5,"HISENSE",74.51732283464567,"Other"
148086,"HISENSE","85U7H series",214.783,"LCD (LED)",214.94,"N/A","Available",4.5,"HISENSE",84.56023622047243,"Other"
148158,"SAMSUNG ELECTRONICS","HG43Q60BAAW",107.987,"LCD (LED)",70,"N/A","Available",4,"SAMSUNG ELECTRONICS",42.514566929133856,"Other"
148160,"SAMSUNG ELECTRONICS","HG50Q60BAAW",125.727,"LCD (LED)",80,"N/A","Available",4.5,"SAMSUNG ELECTRONICS",49.4988188976378,"Other"
148162,"SAMSUNG ELECTRONICS","HG55Q60BAAW",138.783,"LCD (LED)",87,"N/A","Available",5,"SAMSUNG ELECTRONICS",54.63897637795275,"Other"
148163,"SAMSUNG ELECTRONICS","HG65Q60BAAW",163.897,"LCD (LED)",117,"N/A","Available",5,"SAMSUNG ELECTRONICS",64.52637795275591,"65-inch"
148164,"SAMSUNG ELECTRONICS","HG75Q60BAAW",189.338,"LCD (LED)",183,"N/A","Available",4.5,"SAMSUNG ELECTRONICS",74.54251968503937,"Other"
147727,"BAUHN","ATV40FHDG-1122",100.305,"LCD (LED)",40,"N/A","Available",6,"BAUHN",39.49015748031496,"Other"
147727,"BAUHN","ATV40FHDG-0822",100.305,"LCD (LED)",40,"N/A","Available",6,"BAUHN",39.49015748031496,"Other"
148197,"Panasonic","TH-55LX800Z",138.798,"LCD (LED)",97.96,"7.0","Available",4.5,"PANASONIC",54.64488188976378,"Other"
147946,"Philips","32PHT6915/79",80.054,"LCD (LED)",35.47,"7.0","Available",4.5,"PHILIPS",31.517322834645668,"32-inch"
148240,"Philips","43PFT6915/79",107.942,"LCD (LED)",50.44,"8.0","Available",5,"PHILIPS",42.49685039370078,"Other"
148246,"KOGAN","LE-40T1",100.332,"LCD (LED)",34.7106,"N/A","Available",6,"KOGAN",39.5007874015748,"Other"
148246,"KOGAN","KALED40GF7600VA",100.332,"LCD (LED)",34.7106,"N/A","Available",6,"KOGAN",39.5007874015748,"Other"
148251,"LG","OLED55CS6LA",138.783,"OLED",102,"N/A","Available",4.5,"LG",54.63897637795275,"Other"
148252,"LG","OLED55CSPSA",138.783,"OLED",102,"N/A","Available",4.5,"LG",54.63897637795275,"Other"
148253,"LG","OLED65CS6LA",163.897,"OLED",126,"N/A","Available",5,"LG",64.52637795275591,"65-inch"
148254,"LG","OLED65CSPSA",163.897,"OLED",126,"N/A","Available",5,"LG",64.52637795275591,"65-inch"
148255,"LG","OLED77CS6LA",194.738,"OLED",156,"N/A","Available",5.5,"LG",76.66850393700787,"Other"
148256,"LG","OLED77CSPSA",194.738,"OLED",156,"N/A","Available",5.5,"LG",76.66850393700787,"Other"
148257,"LG","42LX3Q6LA",105.52,"OLED",63,"N/A","Available",4.5,"LG",41.54330708661417,"Other"
148258,"LG","42LX3QPSA",105.52,"OLED",63,"N/A","Available",4.5,"LG",41.54330708661417,"Other"
148259,"LG","50QNED7SSQA",125.727,"LCD (LED)",73,"N/A","Available",5,"LG",49.4988188976378,"Other"
148260,"LG","55QNED7SSQA",138.783,"LCD (LED)",94,"N/A","Available",4.5,"LG",54.63897637795275,"Other"
148261,"LG","65QNED7SSQA",163.897,"LCD (LED)",114,"N/A","Available",5,"LG",64.52637795275591,"65-inch"
148262,"LG","75QNED7SSQA",189.275,"LCD (LED)",130,"N/A","Available",6,"LG",74.51771653543307,"Other"
148264,"JVC","JV55ID7A2022Q",138.798,"LCD (LED)",100.2,"7.0","Available",4,"JVC",54.64488188976378,"Other"
148284,"EKO","K32DVD",80.043,"LCD",35.2,"N/A","Available",5,"EKO",31.512992125984255,"32-inch"
148317,"Philips","65PUT7906/75",163.897,"LCD (LED)",128.4,"7.0","Available",4.5,"PHILIPS",64.52637795275591,"65-inch"
148437,"SMARTTECH","SMT-U50T1",125.731,"LCD (LED)",50.6,"N/A","Available",6,"SMARTTECH",49.5003937007874,"Other"
148468,"SMARTTECH","SMT-U55T1",138.783,"LCD (LED)",53.64,"N/A","Available",6,"SMARTTECH",54.63897637795275,"Other"
148475,"SMARTTECH","SMT-U65T1",163.896,"LCD (LED)",99.95,"N/A","Available",5.5,"SMARTTECH",64.5259842519685,"65-inch"
148494,"KOGAN","LE-32T1",80.039,"LCD (LED)",26.4498,"N/A","Available",5.5,"KOGAN",31.511417322834646,"32-inch"
148494,"KOGAN","KALED32QH6200VA",80.039,"LCD (LED)",26.4498,"N/A","Available",5.5,"KOGAN",31.511417322834646,"32-inch"
148496,"Kogan","LE-24T1",59.824,"LCD (LED)",17.1498,"N/A","Available",5.5,"KOGAN",23.55275590551181,"Other"
148496,"Kogan","KALED24DH5200VA",59.824,"LCD (LED)",17.1498,"N/A","Available",5.5,"KOGAN",23.55275590551181,"Other"
148504,"LG","OLED97G2PSA",245.145,"OLED",219,"N/A","Available",6,"LG",96.51377952755905,"Other"
148505,"LG","OLED97G26LA",245.145,"OLED",219,"N/A","Available",6,"LG",96.51377952755905,"Other"
148553,"Sphere","S8LED185",46.995,"LCD (LED)",17.74,"N/A","Available",4.5,"SPHERE",18.501968503937007,"Other"
148553,"Sphere","S8LED185S",46.995,"LCD (LED)",17.74,"N/A","Available",4.5,"SPHERE",18.501968503937007,"Other"
148579,"Sphere","S8LED215",54.687,"LCD (LED)",24.81,"N/A","Available",4,"SPHERE",21.53031496062992,"Other"
148579,"Sphere","S8LED215S",54.687,"LCD (LED)",24.81,"N/A","Available",4,"SPHERE",21.53031496062992,"Other"
148581,"Sphere","S8LED238",60.47,"LCD (LED)",26.67,"N/A","Available",4,"SPHERE",23.807086614173226,"Other"
148581,"Sphere","S8LED238S",60.47,"LCD (LED)",26.67,"N/A","Available",4,"SPHERE",23.807086614173226,"Other"
148595,"BAUHN","ATV70UHDT-1022",176.545,"LCD",97.8,"N/A","Available",6,"BAUHN",69.50590551181102,"Other"
148597,"BLAUPUNKT","BP550USG9700",138.798,"LCD",93.324,"N/A","Available",4.5,"BLAUPUNKT",54.64488188976378,"Other"
148614,"HISENSE","55U8HAU",138.783,"LCD (LED)",115.84,"N/A","Available",3.5,"HISENSE",54.63897637795275,"Other"
148614,"HISENSE","55U8HNZ",138.783,"LCD (LED)",115.84,"N/A","Available",3.5,"HISENSE",54.63897637795275,"Other"
148615,"HISENSE","65U8HAU",163.896,"LCD (LED)",159.55,"N/A","Available",3.5,"HISENSE",64.5259842519685,"65-inch"
148615,"HISENSE","65U8HNZ",163.896,"LCD (LED)",159.55,"N/A","Available",3.5,"HISENSE",64.5259842519685,"65-inch"
148613,"Smarttech","SMT-H32T1",79.967,"LCD (LED)",25.8,"N/A","Available",5.5,"SMARTTECH",31.48307086614173,"32-inch"
148618,"Smarttech","SMT-F40T1",100.305,"LCD (LED)",35.9,"N/A","Available",6,"SMARTTECH",39.49015748031496,"Other"
148621,"DECAMAX","WY55F1F-EU",138.666,"LCD (LED)",106.68,"6.0","Available",3.5,"DECAMAX",54.59291338582677,"Other"
148579,"Sphere","S8LED215 series",54.687,"LCD (LED)",24.81,"N/A","Available",4,"SPHERE",21.53031496062992,"Other"
148569,"Signify","EA2277",138.783,"LCD (LED)",98.268,"N/A","Available",4.5,"SIGNIFY",54.63897637795275,"Other"
148691,"JVC","AV-H323115A11",80.139,"LCD",31.9,"N/A","Available",5.5,"JVC",31.5507874015748,"32-inch"
148691,"JVC","LT-32N3115A11",80.139,"LCD",31.9,"N/A","Available",5.5,"JVC",31.5507874015748,"32-inch"
148614,"HISENSE","55U8H series",138.783,"LCD (LED)",115.84,"N/A","Available",3.5,"HISENSE",54.63897637795275,"Other"
148691,"JVC","NA",80.139,"LCD",31.9,"N/A","Available",5.5,"JVC",31.5507874015748,"32-inch"
148693,"JVC","LT-40N5115A11",100.791,"LCD",36.7,"N/A","Available",5,"JVC",39.681496062992125,"Other"
148694,"JVC","AV-H657115A11",163.132,"LCD",124.968,"N/A","Available",4.5,"JVC",64.2251968503937,"65-inch"
148694,"JVC","LT-65N7115A11",163.132,"LCD",124.968,"N/A","Available",4.5,"JVC",64.2251968503937,"65-inch"
148694,"JVC","NA",163.132,"LCD",124.968,"N/A","Available",4.5,"JVC",64.2251968503937,"65-inch"
148696,"JVC","AV-H557135A11",138.412,"LCD",102,"N/A","Available",4.5,"JVC",54.492913385826775,"Other"
148696,"JVC","LT-55N7115A11",138.412,"LCD",102,"N/A","Available",4.5,"JVC",54.492913385826775,"Other"
148696,"JVC","NA",138.412,"LCD",102,"N/A","Available",4.5,"JVC",54.492913385826775,"Other"
148700,"JVC","AV-H437115A11",107.912,"LCD",73,"N/A","Available",4,"JVC",42.485039370078745,"Other"
148709,"SVISION","SC32HSG",80.029,"LCD (LED)",34.4,"N/A","Available",4,"SVISION",31.507480314960628,"32-inch"
148615,"HISENSE","65U8H series",163.896,"LCD (LED)",159.55,"N/A","Available",3.5,"HISENSE",64.5259842519685,"65-inch"
148739,"ARK","H24",59.736,"LCD",14,"10.0","Available",7,"ARK",23.518110236220473,"Other"
148774,"Linsar","LS98UHDNF",247.695,"LCD",214.416,"N/A","Available",6,"LINSAR",97.51771653543307,"Other"
148780,"AKAI","AK5021S6WOS",125.725,"LCD (LED)",59.7,"N/A","Available",6,"AKAI",49.49803149606299,"Other"
148787,"BLAUPUNKT","BP400FSG9700",100.791,"LCD",50.5,"N/A","Available",5,"BLAUPUNKT",39.681496062992125,"Other"
148834,"BLAUPUNKT","BP320HSG9700",80.139,"LCD",31.9,"N/A","Available",5.5,"BLAUPUNKT",31.5507874015748,"32-inch"
148837,"EKO","K320HSG",80.139,"LCD",31.9,"N/A","Available",5.5,"EKO",31.5507874015748,"32-inch"
148902,"CHiQ","L32D6C",79.967,"LCD (LED)",30,"N/A","Available",5.5,"CHIQ",31.48307086614173,"32-inch"
148994,"EKO","K650USG",163.132,"LCD",124.968,"N/A","Available",4.5,"EKO",64.2251968503937,"65-inch"
148995,"EKO","K550USG",138.798,"LCD",93.324,"N/A","Available",4.5,"EKO",54.64488188976378,"Other"
149006,"EKO","K55USW",138.783,"LCD",96.06,"N/A","Available",4.5,"EKO",54.63897637795275,"Other"
149013,"EKO","K65USW",163.896,"LCD",111.39,"N/A","Available",5.5,"EKO",64.5259842519685,"65-inch"
149014,"EKO","K75USW",189.34,"LCD",228.91,"N/A","Available",3.5,"EKO",74.54330708661418,"Other"
149024,"BLAUPUNKT","BP650USG9700",163.132,"LCD",124.968,"N/A","Available",4.5,"BLAUPUNKT",64.2251968503937,"65-inch"
149021,"KOGAN","KALED55RT9230SVA",138.783,"LCD (LED)",53.64,"N/A","Available",6,"KOGAN",54.63897637795275,"Other"
